Unnamed: 0,cbsa,cbsa_name,accessory apartments banned,no flexible zoning by right,no flexible zoning by permit,affordable incentive,affordable mandate,zoning district count,permit cap or phasing,wetlands restricted in lot size calc,longest frontage requirement,highest res min lot size,mean res min lot size,lowest res min lot size,mandatory approval steps,distinct approval bodies,public hearing requirements,max review waiting time,multifamily not allowed,no mixed-use buildings,no conversion to multifamily,townhouses not allowed,age-restricted provisions,first_pc,second_pc,third_pc,overall_index,local_political_pressure_2018,state_involvement_2018,court_involvement_2018,local_project_2018,local_zoning_2018,local_assembly_2018,supply_restrictions_2018,density_restriction_2018,open_space_2018,exactions_2018,affordable_housing_2018,approval_delay_2018,wrluri18,_merge
0.0,10100,"Aberdeen, SD",0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,75.0,9000.0,6300.0,3000.0,3.0,5.0,0.0,140.0,1.0,0.0,0.0,1.0,0.0,-1.771919236420892,-0.7789383357251088,-0.0006798283394698,-2.163103205256747,8.0,2.0,4.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-0.2488603442907333,both
1.0,10140,"Aberdeen, WA",0.1813113195314863,0.0596879457146561,1.0,0.0,0.0,7.59450231231361,0.0,0.0,41.582530146518565,7916.708302718589,6259.780006050914,5354.113324977309,4.769071184682543,2.925962743657345,0.2384924579677572,222.9594588753944,1.0,0.5205082767861002,0.0,0.6942127328521416,0.0895967497947011,-1.2346690113821666,-0.8886619736697839,-0.0418689522681024,-4.210898540670362,,,,,,,,,,,,,,left_only
2.0,10180,"Abilene, TX",1.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,100.0,12000.0,8666.666666666666,6000.0,2.0,3.0,0.0,150.0,1.0,1.0,0.0,1.0,0.0,0.8344345465079387,-1.336719793764584,-0.4141927019837516,-5.081055030755039,,,,,,,,,,,,,,left_only
3.0,10220,"Ada, OK",0.0,1.0,1.0,0.0,0.0,16.0,0.0,0.0,40.0,6000.0,6000.0,6000.0,4.0,2.0,0.0,150.0,1.0,1.0,1.0,1.0,0.0,-0.3073077023108868,-1.858267053618408,-1.326857925739014,-13.80029062715016,,,,,,,,,,,,,,left_only
4.0,10300,"Adrian, MI",0.0,0.0,0.8862149532710281,0.0,0.0,13.217172897196262,0.0,0.0,79.51635514018692,33056.004672897194,13072.21261682243,7072.301401869159,3.173481308411215,4.922079439252337,0.5889018691588785,153.3282710280374,1.0,1.0,0.2973130841121495,1.0,0.8862149532710281,-0.0736602750633823,-0.9984715106197078,-0.4188569848604782,-1.8891352228665603,7.163469640644362,2.0,4.0,3.1788351920693927,3.1453779429987607,0.5726889714993804,0.0,1.769615861214374,0.4273110285006196,0.3757620817843866,0.4273110285006196,6.536455890461711,0.15264338629470292,both
5.0,10420,"Akron, OH",0.1929731119600352,0.1410336467822509,1.0,0.0769449750220393,0.0,13.002415148398471,0.3536769027328827,0.0,76.36106927710843,61173.58149059653,27660.25857786547,15162.08602703497,4.399573905377608,3.966950117543344,0.3092216426682339,209.53028577725536,1.0,0.7921962239200705,0.0,0.9950778724654716,0.5585053629150749,0.3197015545222761,-0.334380929136046,-0.7679785112185031,0.1249840678126313,8.015250986611589,1.989765057352562,3.5321063696381816,2.5676704901707676,2.821460185151035,0.8455906760594549,0.09290746136539643,3.41451517722126,0.8062276398775495,0.49335189761369097,0.025264633201785108,4.642609172721573,0.1802913303968347,both
6.0,10460,"Alamogordo, NM",0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,20.0,32685.0,19342.5,6000.0,4.0,2.0,0.0,223.0,1.0,1.0,0.0,1.0,0.0,-1.159424555558213,-1.743139163632295,0.002270734484268,-7.526763733856762,,,,,,,,,,,,,,left_only
7.0,10500,"Albany, GA",0.4207014542343884,0.0,1.0,0.0,0.0,10.349358426005132,0.0,0.0,108.00342172797262,46762.819503849445,28348.871685201026,15616.961505560308,3.689820359281437,3.650641573994867,0.229940119760479,210.06706586826348,1.0,0.770059880239521,0.0,1.0,0.0,-0.3075821249365311,-0.2064249209231958,-0.8400993742406245,-3.388004615132931,,,,,,,,,,,,,,left_only
8.0,10540,"Albany-Lebanon, OR",0.8973853496576053,0.0,0.961610292591824,0.7853289064121187,0.0,14.663519402365637,0.8973853496576053,0.0,32.39780037352148,17671.612367711143,9508.819257107283,5115.169122224528,3.3525627723594105,2.243619008092965,0.8495538493463374,228.1209794563187,1.0,0.8973853496576053,0.0,0.9357750570657812,0.1120564432454866,1.1358198379290874,-1.0560822899489035,0.8341434325081979,-2.1550838205640344,,,,,,,,,,,,,,left_only
,10580,,,,,,,,,,,,,,,,,,,,,,,,,,,7.511082806762166,2.3512257253448903,3.522231779534853,1.836487246501472,2.150660005954941,0.6030370198828862,0.0,2.323899162999967,1.0,0.6330102226486254,0.518890396003573,4.843767566760888,0.22341649418063725,right_only
